16:32:43 - Starting servent [28|localhost|1100]
16:32:43 - Pausing for 25000 ms
16:32:43 - First node in Chord system.
16:32:50 - Got message [32|1120|0||NEW_NODE|1100|28]
16:32:50 - Sending message [28|1100|0||WELCOME|1120|32]
16:32:52 - Got message [32|1120|1||UPDATE|1100|28]
16:32:52 - Sending message [32|1120|1|1100|UPDATE|1120|32]
16:32:55 - Got message [36|1140|0||NEW_NODE|1100|28]
16:32:56 - Sending message [28|1100|6||WELCOME|1140|36]
16:32:57 - Sending message [28|1100|7||ALIVE|1120|32]
16:32:57 - Got message [36|1140|1||UPDATE|1100|28]
16:32:57 - Got message [32|1120|6||ALIVE|1100|28]
16:32:58 - Sending message [36|1140|8|1100|UPDATE|1120|32]
16:33:00 - Got message [40|1160|4||NEW_NODE|1100|28]
16:33:01 - Sending message [28|1100|11||WELCOME|1160|40]
16:33:03 - Got message [40|1160|1||UPDATE|1100|28]
16:33:04 - Sending message [40|1160|14|1100|UPDATE|1120|32]
16:33:05 - Got message [44|1180|0||NEW_NODE|1100|28]
16:33:06 - Sending message [28|1100|17||WELCOME|1180|44]
16:33:07 - Got message [44|1180|1||UPDATE|1100|28]
16:33:08 - --------Requesting critical section...
16:33:08 - Sending message [44|1180|21|1100|UPDATE|1120|32]
16:33:09 - Sending message [28|1100|24||QUORUM_REQUEST|1180|44]
16:33:09 - Got message [32|1120|21||QUORUM_REQUEST|1100|28]
16:33:10 - Sending message [28|1100|23||QUORUM_REQUEST|1120|32]
16:33:10 - Got message [44|1180|3|LOCKED|QUORUM_RESPONSE|1100|28]
16:33:11 - Sending message [28|1100|25|UNLOCKED|QUORUM_RESPONSE|1120|32]
16:33:11 - Got message [32|1120|23|UNLOCKED|QUORUM_RESPONSE|1100|28]
16:33:11 - Sending message [28|1100|28||QUORUM_REQUEST|1120|32]
16:33:12 - Sending message [28|1100|29||QUORUM_REQUEST|1180|44]
16:33:12 - Got message [32|1120|27||QUORUM_REQUEST|1100|28]
16:33:12 - Got message [44|1180|5|LOCKED|QUORUM_RESPONSE|1100|28]
16:33:13 - Got message [32|1120|29|UNLOCKED|QUORUM_RESPONSE|1100|28]
16:33:13 - --------Critical section starting...
16:33:13 - --------Requesting critical section...
16:33:13 - Sending message [28|1100|32|UNLOCKED|QUORUM_RESPONSE|1120|32]
16:33:13 - Sending message [28|1100|35||QUORUM_REQUEST|1180|44]
16:33:14 - Sending message [28|1100|34||QUORUM_REQUEST|1120|32]
16:33:14 - Sending message [28|1100|33|28-44-6|FRIEND_REQUEST|1140|36]
