22:54:04 - Starting servent [44|localhost|1180]
22:54:04 - Pausing for 30000 ms
22:54:05 - Sending message [44|1180|0||NEW_NODE|1100|28]
22:54:06 - Got message [28|1100|18||PING|1180|44]
22:54:06 - Got message [28|1100|17||WELCOME|1180|44]
22:54:07 - Sending message [44|1180|2||UPDATE|1100|28]
22:54:07 - Sending message [44|1180|1||PONG|1100|28]
22:54:11 - Got message [28|1100|24||QUORUM_REQUEST|1180|44]
22:54:11 - Got message [44|1180|5|1100,1120,1140,1160|UPDATE|1180|44]
22:54:11 - Got message [28|1100|25||PING|1180|44]
22:54:11 - Sending message [44|1180|3|LOCKED|QUORUM_RESPONSE|1100|28]
22:54:11 - Sending message [44|1180|5||PING|1100|28]
22:54:12 - Sending message [44|1180|6||PONG|1100|28]
22:54:12 - Sending message [44|1180|4||PING|1160|40]
22:54:12 - Got message [40|1160|7||PING|1180|44]
22:54:12 - Got message [28|1100|29||PONG|1180|44]
22:54:13 - Got message [28|1100|31||QUORUM_REQUEST|1180|44]
22:54:13 - Sending message [44|1180|7||PONG|1160|40]
22:54:13 - Got message [40|1160|8||PONG|1180|44]
22:54:13 - Sending message [44|1180|8|LOCKED|QUORUM_RESPONSE|1100|28]
22:54:14 - Got message [40|1160|10|22:test.txt,private,32|PUT|1180|44]
22:54:14 - Got message [28|1100|33||PING|1180|44]
22:54:14 - Got message [28|1100|37||QUORUM_REQUEST|1180|44]
22:54:15 - Sending message [44|1180|10||PONG|1100|28]
22:54:15 - Sending message [44|1180|12||PING|1160|40]
22:54:15 - Sending message [44|1180|9|22:test.txt,private,32|PUT|1100|28]
22:54:16 - Sending message [44|1180|11|LOCKED|QUORUM_RESPONSE|1100|28]
22:54:16 - Sending message [44|1180|13||PING|1100|28]
22:54:16 - Got message [40|1160|12||PING|1180|44]
22:54:17 - Got message [28|1100|41||PONG|1180|44]
22:54:17 - Got message [32|1120|14|32-44-5-6|FRIEND_REQUEST|1180|44]
22:54:17 - Friend request received...Accepting...
